call_number,mcp_tool_name,client_call_identifier,ai_call_start_time_iso,ai_call_end_time_iso,ai_call_duration_ms,server_response_call_identifier,server_reported_timestamp
1,ping_tool,sim-ping-1,2025-05-25T11:45:21Z,2025-05-25T11:45:26Z,5000,sim-ping-1,2025-05-25T11:45:25.993Z
2,ping_tool,sim-ping-2,2025-05-25T11:45:26Z,2025-05-25T11:45:35Z,9000,sim-ping-2,2025-05-25T11:45:35.034Z
3,ping_tool,sim-ping-3,2025-05-25T11:45:35Z,2025-05-25T11:45:39Z,4000,sim-ping-3,2025-05-25T11:45:39.683Z
4,ping_tool,sim-ping-4,2025-05-25T11:45:39Z,2025-05-25T11:45:47Z,8000,sim-ping-4,2025-05-25T11:45:47.705Z
5,ping_tool,sim-ping-5,2025-05-25T11:45:47Z,2025-05-25T11:45:52Z,5000,sim-ping-5,2025-05-25T11:45:52.658Z
6,ping_tool,sim-ping-6,2025-05-25T11:45:52Z,2025-05-25T11:46:01Z,9000,sim-ping-6,2025-05-25T11:46:01.097Z
7,ping_tool,sim-ping-7,2025-05-25T11:46:01Z,2025-05-25T11:46:06Z,5000,sim-ping-7,2025-05-25T11:46:06.646Z
8,ping_tool,sim-ping-8,2025-05-25T11:46:06Z,2025-05-25T11:46:12Z,6000,sim-ping-8,2025-05-25T11:46:12.634Z
9,ping_tool,sim-ping-9,2025-05-25T11:46:12Z,2025-05-25T11:46:18Z,6000,sim-ping-9,2025-05-25T11:46:18.163Z
10,ping_tool,sim-ping-10,2025-05-25T11:46:18Z,2025-05-25T11:46:23Z,5000,sim-ping-10,2025-05-25T11:46:23.917Z
11,ping_tool,sim-ping-11,2025-05-25T11:46:23Z,2025-05-25T11:46:31Z,8000,sim-ping-11,2025-05-25T11:46:30.982Z
12,ping_tool,sim-ping-12,2025-05-25T11:46:31Z,2025-05-25T11:46:37Z,6000,sim-ping-12,2025-05-25T11:46:37.812Z
13,ping_tool,sim-ping-13,2025-05-25T11:46:37Z,2025-05-25T11:46:44Z,7000,sim-ping-13,2025-05-25T11:46:44.860Z
14,ping_tool,sim-ping-14,2025-05-25T11:46:44Z,2025-05-25T11:46:51Z,7000,sim-ping-14,2025-05-25T11:46:51.542Z
15,ping_tool,sim-ping-15,2025-05-25T11:46:51Z,2025-05-25T11:46:58Z,7000,sim-ping-15,2025-05-25T11:46:58.496Z
16,ping_tool,sim-ping-16,2025-05-25T11:46:58Z,2025-05-25T11:47:06Z,8000,sim-ping-16,2025-05-25T11:47:06.066Z
17,ping_tool,sim-ping-17,2025-05-25T11:47:06Z,2025-05-25T11:47:11Z,5000,sim-ping-17,2025-05-25T11:47:11.932Z
18,ping_tool,sim-ping-18,2025-05-25T11:47:11Z,2025-05-25T11:47:17Z,6000,sim-ping-18,2025-05-25T11:47:17.538Z
19,ping_tool,sim-ping-19,2025-05-25T11:47:17Z,2025-05-25T11:47:23Z,6000,sim-ping-19,2025-05-25T11:47:23.233Z
20,ping_tool,sim-ping-20,2025-05-25T11:47:23Z,2025-05-25T11:47:28Z,5000,sim-ping-20,2025-05-25T11:47:28.769Z
21,ping_tool,sim-ping-21,2025-05-25T11:47:28Z,2025-05-25T11:47:34Z,6000,sim-ping-21,2025-05-25T11:47:34.667Z
22,ping_tool,sim-ping-22,2025-05-25T11:47:34Z,2025-05-25T11:47:40Z,6000,sim-ping-22,2025-05-25T11:47:40.393Z
23,ping_tool,sim-ping-23,2025-05-25T11:47:40Z,2025-05-25T11:47:46Z,6000,sim-ping-23,2025-05-25T11:47:46.336Z
24,ping_tool,sim-ping-24,2025-05-25T11:47:46Z,2025-05-25T11:47:52Z,6000,sim-ping-24,2025-05-25T11:47:52.379Z
25,ping_tool,sim-ping-25,2025-05-25T11:47:52Z,2025-05-25T11:47:59Z,7000,sim-ping-25,2025-05-25T11:47:59.101Z
26,ping_tool,sim-ping-26,2025-05-25T11:47:59Z,2025-05-25T11:48:05Z,6000,sim-ping-26,2025-05-25T11:48:04.991Z
27,ping_tool,sim-ping-27,2025-05-25T11:48:05Z,2025-05-25T11:48:10Z,5000,sim-ping-27,2025-05-25T11:48:10.864Z
28,ping_tool,sim-ping-28,2025-05-25T11:48:10Z,2025-05-25T11:48:16Z,6000,sim-ping-28,2025-05-25T11:48:16.883Z
29,ping_tool,sim-ping-29,2025-05-25T11:48:16Z,2025-05-25T11:48:22Z,6000,sim-ping-29,2025-05-25T11:48:22.563Z
30,ping_tool,sim-ping-30,2025-05-25T11:48:22Z,2025-05-25T11:48:28Z,6000,sim-ping-30,2025-05-25T11:48:28.381Z